id,displayName,description,cardColor,range,fireInterval,damage,damageStep,fireRateStep,rangeStep,aoeTargets,aoeFalloff,specialAmount,maxCount,maxUpgrades,specialThreshold,specialTitle,specialDescription,,aoeBase,aoeMax,singleDps,crowdDps,rangeFactor,power,maxDmgDps,maxRateDps,maxSingleDps,damageWins,maxCrowdDps,maxPower,teamPower,teamMaxPower
basic,단발 터렛,단발식으로 끊어쏘는 기본적인 형태의 터렛,#5999F2,3.5,0.4,6,0.35,0.4,0.3,1,0.999,1,2,5,3,총알 복사,공격이 2발씩 나갑니다!!,,1,1.999,15,15,0.875,13.125,41.25,45,45,0,89.955,78.710625,26.25,157.42125
chain,체인 터렛,적 사이를 연쇄하여 공격하는 레이저 터렛,#9E6BF2,4.5,0.7,4.5,0.35,0.3,0.3,3,0.8,1,2,5,3,더 많이 지지기,6마리의 적을 추가로 연쇄합니다!!,,2.44,2.952,6.428571429,15.68571429,1.125,17.64642857,17.67857143,16.07142857,17.67857143,1,52.18714286,58.71053571,35.29285714,117.4210714
cannon,대포 터렛,느리고 적을 관통하는 포탄을 쏘는 대포 터렛,#F28C40,6,1.5,15,0.3,0.3,0.3,3,0.999,1,1,5,3,두 대 연타로 맞자,두 발을 연속으로 발사합니다!!,,2.997001,3.994003999,10,29.97001,1.5,44.955015,25,25,25,1,99.85009997,149.77515,44.955015,149.77515
aura,아우라 터렛,범위 내의 모든 적을 공격하는 아우라 터렛,#38D9B8,3.2,0.5,1.6,0.35,0.3,0.3,4,0.999,1,2,5,3,얼어붙어라,범위내 적을 30% 둔화시킵니다!!,,3.994003999,4.990009995,3.2,12.7808128,0.8,10.22465024,8.8,8,8.8,1,43.91208796,35.12967036,20.44930047,70.25934073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASSUMPTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#rangeBaseline,4,사거리 계수 = range / 이 값 · GameDatabase 에셋에서 수정,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#aoeFalloff,1을 쓰면 수식이 0으로 나뉜다 · 감쇠 없이 전부 같은 데미지면 0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#damageWins,1이면 데미지 몰빵이 유리 · 0이면 연사 몰빵이 유리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#teamPower,126.9471726,필드에 다 깔았을 때 기본 전투력 합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#teamMaxPower,494.8768121,전부 최대 강화했을 때 · 이론상 최대치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
